timestamp,x,y,rssi_dbm,snr,ruido,frequencia_ghz,canal,bssid
2025-12-14T19:05:36.719286+00:00,7.0,0.0,-60,35,-95,2.427,4,BC:2E:48:23:F1:6C
2025-12-14T19:05:42.599923+00:00,7.0,0.0,-65,30,-95,2.427,4,BC:2E:48:23:F1:6C
2025-12-14T19:05:47.088842+00:00,7.0,0.0,-63,32,-95,2.427,4,BC:2E:48:23:F1:6C
2025-12-14T19:06:36.585715+00:00,1.0,2.0,-64,31,-95,2.427,4,BC:2E:48:23:F1:6C
2025-12-14T19:07:10.958250+00:00,2.0,2.0,-51,44,-95,2.427,4,BC:2E:48:23:F1:6C
2025-12-14T19:07:15.561922+00:00,2.0,2.0,-50,45,-95,2.427,4,BC:2E:48:23:F1:6C
2025-12-14T19:07:22.382129+00:00,2.0,2.0,-57,38,-95,2.427,4,BC:2E:48:23:F1:6C
2025-12-14T19:07:35.127448+00:00,1.0,2.0,-52,43,-95,2.427,4,BC:2E:48:23:F1:6C
2025-12-14T19:07:39.676779+00:00,1.0,2.0,-57,38,-95,2.427,4,BC:2E:48:23:F1:6C
2025-12-14T19:08:15.536720+00:00,-1.0,2.0,-48,47,-95,2.427,4,BC:2E:48:23:F1:6C
2025-12-14T19:08:19.707011+00:00,-1.0,2.0,-45,50,-95,2.427,4,BC:2E:48:23:F1:6C
2025-12-14T19:08:23.947768+00:00,-1.0,2.0,-43,52,-95,2.427,4,BC:2E:48:23:F1:6C
2025-12-14T19:09:00.296502+00:00,-2.0,3.0,-53,42,-95,2.427,4,BC:2E:48:23:F1:6C
2025-12-14T19:09:04.803373+00:00,-2.0,3.0,-46,49,-95,2.427,4,BC:2E:48:23:F1:6C
2025-12-14T19:09:08.978001+00:00,-2.0,3.0,-44,51,-95,2.427,4,BC:2E:48:23:F1:6C
2025-12-14T19:09:58.492007+00:00,-3.0,3.0,-54,41,-95,2.427,4,BC:2E:48:23:F1:6C
2025-12-14T19:10:02.893193+00:00,-3.0,3.0,-52,43,-95,2.427,4,BC:2E:48:23:F1:6C
2025-12-14T19:10:07.354238+00:00,-3.0,3.0,-53,42,-95,2.427,4,BC:2E:48:23:F1:6C
2025-12-14T19:10:53.730474+00:00,-4.0,3.0,-46,49,-95,2.427,4,BC:2E:48:23:F1:6C
2025-12-14T19:12:12.907169+00:00,-4.0,4.0,-50,45,-95,2.427,4,BC:2E:48:23:F1:6C
2025-12-14T19:12:17.207896+00:00,-4.0,4.0,-60,35,-95,2.427,4,BC:2E:48:23:F1:6C
2025-12-14T19:12:21.507971+00:00,-4.0,4.0,-59,36,-95,2.427,4,BC:2E:48:23:F1:6C
